Term,Date,Value
Digital inclusion initiatives,5/1/2016,0
Digital inclusion initiatives,6/1/2016,0
Digital inclusion initiatives,7/1/2016,0
Digital inclusion initiatives,8/1/2016,0
Digital inclusion initiatives,9/1/2016,0
Digital inclusion initiatives,10/1/2016,0
Digital inclusion initiatives,11/1/2016,0
Digital inclusion initiatives,12/1/2016,0
Digital inclusion initiatives,1/1/2017,0
Digital inclusion initiatives,2/1/2017,0
Digital inclusion initiatives,3/1/2017,0
Digital inclusion initiatives,4/1/2017,0
Digital inclusion initiatives,5/1/2017,0
Digital inclusion initiatives,6/1/2017,0
Digital inclusion initiatives,7/1/2017,0
Digital inclusion initiatives,8/1/2017,0
Digital inclusion initiatives,9/1/2017,0
Digital inclusion initiatives,10/1/2017,0
Digital inclusion initiatives,11/1/2017,0
Digital inclusion initiatives,12/1/2017,0
Digital inclusion initiatives,1/1/2018,0
Digital inclusion initiatives,2/1/2018,0
Digital inclusion initiatives,3/1/2018,0
Digital inclusion initiatives,4/1/2018,0
Digital inclusion initiatives,5/1/2018,0
Digital inclusion initiatives,6/1/2018,0
Digital inclusion initiatives,7/1/2018,0
Digital inclusion initiatives,8/1/2018,0
Digital inclusion initiatives,9/1/2018,0
Digital inclusion initiatives,10/1/2018,0
Digital inclusion initiatives,11/1/2018,0
Digital inclusion initiatives,12/1/2018,0
Digital inclusion initiatives,1/1/2019,0
Digital inclusion initiatives,2/1/2019,0
Digital inclusion initiatives,3/1/2019,0.5156869727494476
Digital inclusion initiatives,4/1/2019,0
Digital inclusion initiatives,5/1/2019,0
Digital inclusion initiatives,6/1/2019,0
Digital inclusion initiatives,7/1/2019,0
Digital inclusion initiatives,8/1/2019,0
Digital inclusion initiatives,9/1/2019,0
Digital inclusion initiatives,10/1/2019,0
Digital inclusion initiatives,11/1/2019,0
Digital inclusion initiatives,12/1/2019,0
Digital inclusion initiatives,1/1/2020,0
Digital inclusion initiatives,2/1/2020,0
Digital inclusion initiatives,3/1/2020,0
Digital inclusion initiatives,4/1/2020,0
Digital inclusion initiatives,5/1/2020,0
Digital inclusion initiatives,6/1/2020,0
Digital inclusion initiatives,7/1/2020,0
Digital inclusion initiatives,8/1/2020,0
Digital inclusion initiatives,9/1/2020,0
Digital inclusion initiatives,10/1/2020,0
Digital inclusion initiatives,11/1/2020,0
Digital inclusion initiatives,12/1/2020,0
Digital inclusion initiatives,1/1/2021,0
Digital inclusion initiatives,2/1/2021,0
Digital inclusion initiatives,3/1/2021,0
Digital inclusion initiatives,4/1/2021,0
Digital inclusion initiatives,5/1/2021,0
Digital inclusion initiatives,6/1/2021,0
Digital inclusion initiatives,7/1/2021,0
Digital inclusion initiatives,8/1/2021,0
Digital inclusion initiatives,9/1/2021,0
Digital inclusion initiatives,10/1/2021,0
Digital inclusion initiatives,11/1/2021,0
Digital inclusion initiatives,12/1/2021,0
Digital inclusion initiatives,1/1/2022,0
Digital inclusion initiatives,2/1/2022,0
Digital inclusion initiatives,3/1/2022,0
Digital inclusion initiatives,4/1/2022,0
Digital inclusion initiatives,5/1/2022,0
Digital inclusion initiatives,6/1/2022,0
Digital inclusion initiatives,7/1/2022,0
Digital inclusion initiatives,8/1/2022,0
Digital inclusion initiatives,9/1/2022,0
Digital inclusion initiatives,10/1/2022,0
Digital inclusion initiatives,11/1/2022,0
Digital inclusion initiatives,12/1/2022,0
Digital inclusion initiatives,1/1/2023,0
Digital inclusion initiatives,2/1/2023,0
Digital inclusion initiatives,3/1/2023,0
Digital inclusion initiatives,4/1/2023,0
Digital inclusion initiatives,5/1/2023,0
Digital inclusion initiatives,6/1/2023,0
Digital inclusion initiatives,7/1/2023,0
Digital inclusion initiatives,8/1/2023,0
Digital inclusion initiatives,9/1/2023,0
Digital inclusion initiatives,10/1/2023,0
Digital inclusion initiatives,11/1/2023,0
Digital inclusion initiatives,12/1/2023,0
Digital inclusion initiatives,1/1/2024,0
Digital inclusion initiatives,2/1/2024,0
Digital inclusion initiatives,3/1/2024,0
Digital inclusion initiatives,4/1/2024,0
Digital inclusion initiatives,5/1/2024,0
Digital inclusion initiatives,6/1/2024,0
Digital inclusion initiatives,7/1/2024,0
Digital inclusion initiatives,8/1/2024,0
